OID,month_year,Count_month_year,Sum_number_b,year
4,4/10,4,4,2010
9,5/10,145,675,2010
15,6/10,43,191,2010
21,7/10,19,41,2010
27,8/10,95,1430,2010
33,9/10,41,438,2010
5,4/11,4,4,2011
10,5/11,207,1255,2011
16,6/11,115,704,2011
22,7/11,21,180,2011
28,8/11,58,328,2011
34,9/11,22,507,2011
1,10/11,1,1,2011
3,12/11,3,3,2011
0,1/12,9,9,2012
6,4/12,6,14,2012
11,5/12,438,1839,2012
17,6/12,280,1770,2012
23,7/12,109,1554,2012
29,8/12,121,1230,2012
35,9/12,41,187,2012
7,4/13,17,44,2013
12,5/13,661,2443,2013
18,6/13,363,1593,2013
24,7/13,69,367,2013
30,8/13,128,522,2013
36,9/13,60,502,2013
8,4/14,5,6,2014
13,5/14,819,2798,2014
19,6/14,382,1412,2014
25,7/14,86,282,2014
31,8/14,123,1027,2014
37,9/14,46,209,2014
2,10/14,5,9,2014
14,5/15,970,4334,2015
20,6/15,381,1208,2015
26,7/15,100,378,2015
32,8/15,119,987,2015
38,9/15,38,331,2015
